AA	SCN	ΤΕΧΤ	PROJECTION	ORDER	FILES	FX	FXMODE	FXMODEVALUE	FXEXTRA
0	Α0	ΕΝΑΡΞΗ	1S	HANDY	NA	BLACK	MULT	1	BLACK
1	A1	Το Τερς!	1S	HANDY	NA	NONE	NONE	0	NONE
2	A3	ΦΡ: ..για την ανθρωπότητα	1S	HANDY	C:\PROJECTS\LathosXwra\FOOTAGE\PHOTOS\stadiou_00.jpg	NONE	NONE	0	NONE
3	A3	ΤΙΤΛΟΙ (OFF)	1S	HANDY	NA	NONE	NONE	0	NONE
4	A3	ΦΡ: .. τρεις ορόφους πιο ΚΑΤΩ.	1S	HANDY	NA	NONE	NONE	0	NONE
5	A4	ΕΛ: Ο αδερφός του ο Φρεντερίκ ..	1S	WEBC	NA	NONE	NONE	0	NONE
6	A4	ΚΑΡΛ: .. αλλά μόνο από την αϋπνία.	1S	HANDY	NA	NONE	NONE	0	NONE
7	A4	ΕΛ: Στο παλιό παιδικό μας δωμάτιο ..	1S	HANDY	NA	NONE	NONE	0	NONE
8	A5	ΚΑΡΛ: .. παράξενο αίσθημα	1S	FOOTAGE, HANDY	C:\PROJECTS\LathosXwra\FOOTAGE\PHOTOS\Tirana-Albania.jpg	BLEND	BLEND	0.33	NONE
9	A6	ΘΩ: Ένα σύντομο σημείωμα ..	2S	HANDY, FOOTAGE	C:\PROJECTS\LathosXwra\FOOTAGE\PHOTOS\person-pencil.jpg	NONE	NONE	0	NONE
10	A6	ΜΗΤ: Κάθε μέρα η μητέρα έχανε ..	1S	HANDY	NA	NONE	NONE	0	NONE
11	A6	MHT: .. είχε πέσει στα χέρια της.	1S	FOOTAGE	C:\PROJECTS\LathosXwra\FOOTAGE\PHOTOS\stadiou_00.jpg	NONE	NONE	0	NONE
12	A6	ΦΡ: ισχυρή ταυτότητα και την ευτυχία.	1S	WEBC	NA	NONE	NONE	0	NONE
13	A6	ΝΤ: Το επόμενο πρωί	1S	HANDY	NA	NONE	NONE	0	NONE
14	A7	(κίνηση με το χέρι για να μαζέψει χώμα)	2S	HANDY, WEBL	NA	NONE	NONE	0	NONE
15	A7	(αλλαγή στην τρίτη ρίψη)	1S	HANDY	NA	NONE	NONE	0	NONE
16	Α7	ΕΛ: Τόσο λιγότερη ταυτότητα	1S	WEBL	NA	NONE	NONE	0	NONE
17	Α8	DOC Έλιο (οπτικό)	1S	HANDY	NA	NONE	NONE	0	NONE
18	A9	ΚΑΡΛ: ΞΕΚΙΝΩΝΤΑΣ από το ίδιο ..	1S	WEBL	NA	NONE	NONE	0	NONE
19	A9	ΚΑΡΛ: Δεν θέλω να το διαβάσω!	1S	WEBL	NA	NONE	NONE	0	NONE
20	A9	ΦΡ: .. και Γερμανοί αστυνομικοί.	1S	HANDY	NA	NONE	NONE	0	NONE
21	A9	ΦΡ: .. κάτω από τα πόδια του	1S	WEBL	NA	NONE	NONE	0	NONE
22	A10	ΕΛ: Ο ΠΑΤΕΡΑΣ ..	1S	HANDY	NA	NONE	NONE	0	NONE
23	A10	ΕΛ: ΟΣΟ περνούσαν τα χρόνια ..	1S	WEBL	NA	NONE	NONE	0	NONE
24	A10	ΕΛ: για αυτούς τους ΑΝΘΡΩΠΟΥΣ	1S	HANDY	NA	NONE	NONE	0	NONE
25	A10	ΦΡ: .. αλλάξει.	1S	WEBL	NA	NONE	NONE	0	NONE
26	Α11	ΑΛ: ..στα Τίρανα	1S	FOOTAGE	C:\PROJECTS\LathosXwra\FOOTAGE\PHOTOS\stadiou_00.jpg	NONE	NONE	0	NONE
27	Α11	Ελ: Από τη λέξη συλλογικό	1S	FOOTAGE	C:\PROJECTS\LathosXwra\FOOTAGE\PHOTOS\stadiou_00.jpg	NONE	NONE	0	NONE
28	Α11	ΜΑΡ: 20 Φεβρουαρίου1991	1S	HANDY	NA	NONE	NONE	0	NONE
29	A12	ΜΑΡ: .. Cyndi Lauper και του Prince.	1S	HANDY	NA	NONE	NONE	0	NONE
30	A12	ΝΤ: ΔΕΞΙΟ μηρό	1S	WEBC	NA	NONE	NONE	0	NONE
31	A12	ΘΩ: Στις 4 τα ξημερώματα	1S	WEBC	NA	NONE	NONE	0	NONE
32	A13	ΑΛ: Μήπως ψάχνεις .. (οπτικό)	1S	HANDY	NA	NONE	NONE	0	NONE
33	A13	ΝΤ: Μετά από 20 Χρόνια .. (REC)	1S	HANDY	NA	NONE	NONE	0	NONE
