AA	SCN	TAG	ΤΕΧΤ	PROJECTION	TYPE	CONTENT	FX (name, mode, [values])	AUDIO (play/stop, seek, Fin, Fout, vol, loop)
0	A1		ΑΡΧΗ	1S	HANDY	NA	NONE	
1	A3		ΦΡ: ..για την ανθρωπότητα	1S	HANDY, IMAGE, AUDIO	NA, C:\PROJECTS\LathosXwra\FOOTAGE\PHOTOS\stadiou_00.jpg, D:\Projects\LathosXwra\LX_app\resources\AUDIO\Henri\MP3\2ο μέρος Θέμα.mp3	BLUE; ADD; [0.4];	1;0;0.1;12;1;0;
2	A3		ΦΡ: .. τρεις ορόφους πιο ΚΑΤΩ.	1S	HANDY	NA	NONE	
3	A4		Κα: .. την Αμερική πριν πεθάνω.	1S	WEBC	NA	NONE	
3.5	A4		ΚΑΡΛ: .. αλλά μόνο από την αϋπνία.	1S	HANDY	NA	NONE	
4	A5		ΚΑΡΛ: .. παράξενο αίσθημα	1S	IMAGE, HANDY	C:\PROJECTS\LathosXwra\FOOTAGE\PHOTOS\Tirana-Albania.jpg, NA	BLEND	
5	A6		ΜΗΤ: .. “Φρεντερικ και Καρλ	3S	HANDY, WEBC, IMAGE	NA, NA, C:\PROJECTS\LathosXwra\FOOTAGE\PHOTOS\person-pencil.jpg	NONE	
6	A6		ΜΗΤ: Κάθε μέρα η μητέρα έχανε ..	2S	IMAGE, HANDY	C:\PROJECTS\LathosXwra\FOOTAGE\PHOTOS\person-pencil.jpg, NA	NONE	
7	A6		MHT: .. είχε πέσει στα χέρια της.	1S	IMAGE	C:\PROJECTS\LathosXwra\FOOTAGE\PHOTOS\stadiou_00.jpg	NONE	
8	A6		ΦΡ: ισχυρή ταυτότητα και την ευτυχία.	1S	WEBC	NA	NONE	
9	A6		ΝΤ: Το επόμενο πρωί	1S	HANDY	NA	NONE	
10	A7		(κίνηση με το χέρι για να μαζέψει χώμα)	2S	HANDY, WEBL	NA, NA	NONE	
11	A7		(αλλαγή στην τρίτη ρίψη)	1S	HANDY	NA	NONE	
12	A8		ΚΑΡΛ: ΞΕΚΙΝΩΝΤΑΣ από το ίδιο ..	1S	WEBL	NA	NONE	
13	A8		ΦΡ: .. και Γερμανοί αστυνομικοί.	1S	HANDY	NA	NONE	
14	A8		ΦΡ: .. κάτω από τα πόδια του	1S	WEBL	NA	NONE	
15	A8		ΚΑΡΛ:  Tiranovskaja Biblioteka	1S	HANDY	NA	NONE	
16	A8		ΦΡ: .. αλλάξει.	1S	WEBL	NA	NONE	
17	A10		ΑΛ: ..στα Τίρανα	1S	IMAGE	C:\PROJECTS\LathosXwra\FOOTAGE\PHOTOS\stadiou_00.jpg	NONE	
18	A10		ΜΑΡ: 20 Φεβρουαρίου1991	1S	HANDY	NA	NONE	
19	A11		ΜΑΡ: .. Cyndi Lauper και του Prince.	1S	HANDY, AUDIO	NA, C:\Audio	NONE	
20	A10		ΝΤ: ΔΕΞΙΟ μηρό	1S	WEBC	NA	NONE	
21	Α11		ΘΩ: Στις 4 τα ξημερώματα	1S	WEBC	NA	NONE	
22	A12		ΑΛ: Μήπως ψάχνεις το παπούτσι ΣΟΥ	1S	HANDY	NA	NONE	
23	A12		ΝΤ: Μετά από 20 Χρόνια ..	1S	HANDY	NA	NONE	
